Sample,Date_Collection,Year,Collection,Boat,SPN,Observer,Cruise #,Haul,Latitude decimal degrees,Longitude decimal degrees,Depth (meter),Bottom Temp (C),CL_mm,Shell_Cond,Egg_Color,Egg_Cond,Clutch Full (ADFG) (0-no eggs; 1-trace to 1/8 full; 2-1/4 full; 3-1/2 full; 4-3/4 full; 5-100 full),Clutch_Size,Date_Sampled,Year,mL_eggs,Clutch Wet Weight,indv_egg wt_g,Fecundity,Egg Viability 1 (% viable),Egg Viability 2 (% viable),Relative_Fecundity,Comments
706,6/4/2009,2009,Summer 09,Aldebaran,,,0,10,57.01,-160.32,63,1,114,1,2,1,0,6,7/29/2009,2009,125,188.66,0.0001952,200859.6311,0,0,1761.926589,
707,6/4/2009,2009,Summer 09,Aldebaran,,,0,12,56.34,-161.03,55,2.6,102,2,3,1,0,5,7/29/2009,2009,95,100.54,0.0001884,103026.5393,0,0,1010.064111,
708,6/6/2009,2009,Summer 09,Arcturus,,,0,21,57.69,-162.13,48,1.9,88,2,3,1,0,6,7/29/2009,2009,32,60.54,0.0001946,58657.24563,0,0,666.5596094,tag 1400 dead 6/19/09
709,6/4/2009,2009,Summer 09,Aldebaran,,,0,9,57.33,-160.32,62,1.3,100,2,3,1,0,5,7/29/2009,2009,42,68.96,0.0001772,77908.57788,0,0,779.0857788,
710,6/4/2009,2009,Summer 09,Aldebaran,,,0,13,56.33,-161.6,64,1.9,142,1,2,1,0,5,7/29/2009,2009,110,207.71,0.0002294,124120.3139,0,0,874.0867176,"egg loss, rotten pleopods, non viable eggs"
711,6/4/2009,2009,Summer 09,Aldebaran,,,0,9,57.33,-160.32,62,1.3,99,2,5,1,0,5,7/29/2009,2009,55,85.31,0.000199,86793.96985,0,0,876.7067662,
712,6/4/2009,2009,Summer 09,Aldebaran,,,0,13,56.33,-161.6,64,1.9,123,1,2,1,0,4,7/30/2009,2009,122,187.33,0.0001878,150345.0479,0,0,1222.317463,"egg loss, rotten pleopods, lots sediment"
713,6/4/2009,2009,Summer 09,Aldebaran,,,0,13,56.33,-161.6,64,1.9,123,1,2,1,0,5,7/30/2009,2009,147,256.36,0.0002068,185663.9265,0,0,1509.462817,"egg loss, rotten pleopods, sediment"
714,6/4/2009,2009,Summer 09,Aldebaran,,,0,10,57.01,-160.32,63,1,101,2,3,1,0,5,7/30/2009,2009,70,99.21,0.000189,104260.3175,0,0,1032.280371,
715,6/4/2009,2009,Summer 09,Aldebaran,,,0,10,57.01,-160.32,63,1,100,2,3,1,0,5,7/30/2009,2009,45,76.88,0.0001974,87256.83891,0,0,872.5683891,
716,6/3/2009,2009,Summer 09,Aldebaran,,,0,10,57.01,-160.32,63,1,110,1,2,1,0,5,7/30/2009,2009,97,141.88,0.0001928,143882.7801,0,0,1308.025274,
717,6/4/2009,2009,Summer 09,Aldebaran,,,0,13,56.33,-161.6,64,1.9,99,2,5,1,0,6,7/30/2009,2009,72,93.68,0.0002314,87046.67243,0,0,879.2593175,
718,6/2/2009,2009,Summer 09,Aldebaran,,,0,3,57.32,-159.09,50,2,87,2,5,1,0,5,7/30/2009,2009,18,31.31,0.000216,27385.18519,0,0,314.7722436,died 6/3/09
719,6/4/2009,2009,Summer 09,Aldebaran,,,0,13,56.33,-161.6,64,1.9,106,2,3,1,0,6,7/30/2009,2009,89,119.62,0.0002214,118414.6341,0,0,1117.11919,sediment
720,6/4/2009,2009,Summer 09,Aldebaran,,,0,9,57.33,-160.32,62,1.3,104,2,3,1,0,6,7/31/2009,2009,65,106.78,0.0001912,111192.4686,0,0,1069.158352,
721,6/4/2009,2009,Summer 09,Aldebaran,,,0,10,57.01,-160.32,63,1,103,2,3,1,0,5,7/31/2009,2009,65,94.64,0.000191,97503.66492,0,0,946.6375235,
722,6/4/2009,2009,Summer 09,Aldebaran,,,0,13,56.33,-161.6,64,1.9,102,2,2,1,0,5,7/31/2009,2009,60,77.41,0.0002192,72751.36861,0,0,713.2487119,
723,6/4/2009,2009,Summer 09,Aldebaran,,,0,13,56.33,-161.6,64,1.9,98,2,3,1,0,6,7/31/2009,2009,50,76.17,0.0001834,81822.79171,0,0,834.926446,sediment
724,6/4/2009,2009,Summer 09,Aldebaran,,,0,9,57.33,-160.32,62,1.3,100,2,5,1,0,5,7/31/2009,2009,68,86.74,0.0001788,96727.06935,0,0,967.2706935,sediment
725,6/4/2009,2009,Summer 09,Aldebaran,,,0,13,56.33,-161.6,64,1.9,108,2,3,1,0,6,7/31/2009,2009,75,107.05,0.0001974,108577.5076,0,0,1005.347293,sediment
726,6/4/2009,2009,Summer 09,Aldebaran,,,0,10,57.01,-160.32,63,1,97,2,3,1,0,4,7/31/2009,2009,36,55.46,0.0001856,61982.21983,0,0,638.991957,
727,6/4/2009,2009,Summer 09,Aldebaran,,,0,13,56.33,-161.6,64,1.9,122,1,5,1,0,4,7/31/2009,2009,112,208.95,0.0002076,162715.3179,0,0,1333.732114,"rotten pleopods, sediment, fish scales"
728,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,134,2,2,1,0,5,8/3/2009,2009,155,267.79,0.0001984,283575.6048,0,0,2116.235857,"1 worm, debris"
729,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,123,1,2,1,0,5,8/3/2009,2009,160,195.65,0.000196,218216.8367,0,0,1774.120624,
730,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,108,2,5,1,0,5,8/3/2009,2009,140,173.82,0.0001944,178041.1523,0,0,1648.529188,sediment
731,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,130,2,5,1,0,5,8/3/2009,2009,125,171.03,0.0001698,204081.861,0,0,1569.860469,died in live tank 6/13/09 sampled 6/14/09
732,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,123,2,2,1,0,5,8/3/2009,2009,200,246.79,0.0002052,258846.0039,0,0,2104.439056,sediment
733,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,120,1,2,1,0,5,8/3/2009,2009,140,172.73,0.0001748,209990.2746,0,0,1749.918955,sediment
734,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,130,2,2,1,0,6,8/3/2009,2009,204,244.64,0.000198,258720.202,0,0,1990.1554,
735,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,133,2,2,1,0,6,8/3/2009,2009,220,258.45,0.0001734,313424.4521,0,0,2356.574828,sediment
736,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,123,2,2,1,0,5,8/4/2009,2009,174,216.91,0.0001972,234434.0771,0,0,1905.968107,sediment
737,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,143,1,3,1,0,5,8/4/2009,2009,230,262.61,0.0002052,284620.3704,0,0,1990.352241,"sediment, fish scales, dead eggs"
738,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,130,1,5,1,0,6,8/4/2009,2009,195,219.61,0.000199,243040.7035,0,0,1869.543873,sediment
739,6/5/2009,2009,Summer 09,Aldebaran,,,0,19,58,-162.11,37,2.1,89,2,3,1,0,5,8/4/2009,2009,36,55.93,0.0002018,50513.37958,0,0,567.5660627,died in live tank 6/13/09 sampled 6/14/09
740,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,134,2,5,1,0,6,8/4/2009,2009,220,243.67,0.0001918,293950.4692,0,0,2193.660218,sediment
741,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,129,1,2,1,0,5,8/4/2009,2009,175,216.82,0.0002008,224804.7809,0,0,1742.67272,sediment
742,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,133,1,5,1,0,5,8/4/2009,2009,220,196.93,0.0001948,226180.1848,0,0,1700.602893,sediment
743,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,114,2,5,1,0,3,8/4/2009,2009,135,168.40,0.0002124,168471.7514,0,0,1477.822381,sediment
744,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,140,2,5,1,0,6,8/5/2009,2009,290,327.13,0.000193,396818.6528,0,0,2834.418949,sediment
745,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,127,1,5,1,0,5,8/5/2009,2009,190,219.61,0.000185,264241.6216,0,0,2080.64269,
746,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,134,1,2,1,0,6,8/5/2009,2009,235,272.52,0.0001924,314541.0603,0,0,2347.321346,
747,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,115,2,2,1,0,5,8/6/2009,2009,140,170.86,0.0001944,193895.5761,0,0,1686.048488,
748,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,141,1,5,1,0,6,8/6/2009,2009,230,274.60,0.0001882,323602.5505,0,0,2295.05355,
749,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,121,1,2,1,0,5,8/6/2009,2009,100,114.11,0.000198,130136.8687,0,0,1075.511312,"sediment, dead eggs"
750,7/28/2009,2009,Summer 09,Arcturus,,,0,202,57.32,-160.94,63,3,113,2,2,1,0,5,8/6/2009,2009,140,180.14,0.0001854,200079.8274,0,0,1770.617942,sediment
751,6/7/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,146,2,5,1,0,6,8/6/2009,2009,225,288.69,0.0001994,328658.9769,0,0,2251.088883,
752,7/28/2009,2009,Summer 09,Arcturus,,,0,202,57.32,-160.94,63,3,113,2,2,1,0,5,8/6/2009,2009,80,127.70,0.0001932,137579.7101,0,0,1217.519558,
753,7/28/2009,2009,Summer 09,Arcturus,,,0,202,57.32,-160.94,63,3,121,2,2,1,0,5,8/6/2009,2009,120,162.43,0.0001762,198568.672,0,0,1641.063405,
754,7/28/2009,2009,Summer 09,Arcturus,,,0,202,57.32,-160.94,63,3,111,2,2,1,0,5,8/6/2009,2009,140,173.87,0.0001966,192475.5849,0,0,1734.014278,
755,7/28/2009,2009,Summer 09,Arcturus,,,0,202,57.32,-160.94,63,3,117,2,2,1,0,5,8/7/2009,2009,145,174.97,0.0001968,191118.9024,0,0,1633.494892,
756,7/28/2009,2009,Summer 09,Arcturus,,,0,202,57.32,-160.94,63,3,113,2,2,1,0,5,8/7/2009,2009,140,168.54,0.0001716,216445.2214,0,0,1915.444437,
757,7/27/2009,2009,Summer 09,Arcturus,,,0,201,57.67,-161.5,53,3.5,124,2,2,1,0,5,8/7/2009,2009,150,204.62,0.0002012,197867.2962,0,0,1595.704002,
758,7/27/2009,2009,Summer 09,Arcturus,,,0,200,57.33,-161.54,57,3.5,132,2,2,1,0,5,8/7/2009,2009,185,239.80,0.0001798,270335.9288,0,0,2047.999461,
759,7/27/2009,2009,Summer 09,Arcturus,,,0,201,57.67,-161.5,53,3.5,146,2,2,1,0,5,8/7/2009,2009,170,225.50,0.000175,260816,0,0,1786.410959,
760,7/27/2009,2009,Summer 09,Arcturus,,,0,201,57.67,-161.5,53,3.5,109,2,2,1,0,5,8/7/2009,2009,120,145.07,0.0001872,170544.8718,0,0,1564.631851,
761,7/27/2009,2009,Summer 09,Arcturus,,,0,201,57.67,-161.5,53,3.5,121,2,2,1,0,5,8/7/2009,2009,130,164.82,0.0002042,179729.6768,0,0,1485.36923,"fish scales, debris"
762,7/27/2009,2009,Summer 09,Arcturus,,,0,200,57.33,-161.54,57,3.5,111,2,2,1,0,5,8/7/2009,2009,130,169.86,0.000179,189907.8212,0,0,1710.881272,
763,7/26/2009,2009,Summer 09,Arcturus,,,0,199,57.33,-162.15,52,3.6,142,2,2,1,0,5,8/11/2009,2009,205,254.36,0.0001808,306375,0,0,2157.570423,
764,6/18/2009,2009,Summer 09,Aldebaran,,,0,13,56.33,-161.6,64,1.9,132,1,5,1,0,5,8/11/2009,2009,165,219.83,0.0001936,240184.9174,0,0,1819.582708,tag 1439
765,6/18/2009,2009,Summer 09,Aldebaran,,,0,13,56.33,-161.6,64,1.9,134,1,2,1,0,5,8/11/2009,2009,160,206.35,0.0001806,261703.7652,0,0,1953.013173,tag 1435
766,6/18/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,139,2,5,1,0,6,8/11/2009,2009,190,272.24,0.0001764,343716.5533,0,0,2472.780959,tag 1449
767,6/18/2009,2009,Summer 09,Aldebaran,,,0,28,55.35,-163.39,53,3.2,134,2,2,1,0,5,8/11/2009,2009,185,282.75,0.0002142,267014.4725,0,0,1992.645317,tag 1446
768,7/28/2009,2009,Summer 09,Arcturus,,,0,205,57.35,-160.3,62,4.7,148,2,2,1,0,6,8/11/2009,2009,230,266.47,0.0001744,342221.3303,0,0,2312.306286,sediment
769,6/18/2009,2009,Summer 09,Aldebaran,,,0,26,55.68,-162.81,51,2.4,137,2,2,1,0,6,8/11/2009,2009,155,261.70,0.0002108,269989.0892,0,0,1970.723279,tag 1439
770,7/26/2009,2009,Summer 09,Arcturus,,,0,199,57.33,-162.15,52,3.6,120,2,2,1,0,5,8/11/2009,2009,135,159.93,0.000179,199585.4749,0,0,1663.212291,1 worm
771,7/28/2009,2009,Summer 09,Arcturus,,,0,205,57.35,-160.3,62,4.7,142,2,2,1,0,5,8/12/2009,2009,245,303.53,0.0001874,351745.9979,0,0,2477.084492,
772,7/28/2009,2009,Summer 09,Arcturus,,,0,205,57.35,-160.3,62,4.7,122,2,2,1,0,5,8/12/2009,2009,115,148.99,0.0001792,167491.0714,0,0,1372.877634,
773,7/28/2009,2009,Summer 09,Arcturus,,,0,205,57.35,-160.3,62,4.7,96,2,3,1,0,5,8/12/2009,2009,58,66.77,0.0002094,78157.11557,0,0,814.1366205,sediment/debris
774,7/28/2009,2009,Summer 09,Arcturus,,,0,205,57.35,-160.3,62,4.7,99,2,3,1,0,6,8/12/2009,2009,66,78.54,0.000214,79694.85981,0,0,804.9985839,sediment
775,7/28/2009,2009,Summer 09,Arcturus,,,0,205,57.35,-160.3,62,4.7,149,2,2,1,0,5,8/12/2009,2009,267,261.46,0.0001844,318746.7462,0,0,2139.239907,sediment
776,7/28/2009,2009,Summer 09,Arcturus,,,0,205,57.35,-160.3,62,4.7,97,2,2,1,0,5,8/12/2009,2009,56,73.58,0.0002178,76610.65197,0,0,789.8005358,sediment
777,7/28/2009,2009,Summer 09,Arcturus,,,0,205,57.35,-160.3,62,4.7,99,2,3,1,0,5,8/12/2009,2009,60,76.57,0.0001988,86322.93763,0,0,871.9488649,sediment
778,7/28/2009,2009,Summer 09,Arcturus,,,0,204,57.67,-160.28,54,5.6,144,2,2,1,0,5,8/13/2009,2009,220,250.78,0.000171,310794.152,0,0,2158.292722,sediment
779,7/28/2009,2009,Summer 09,Arcturus,,,0,205,57.35,-160.3,62,4.7,141,2,3,1,0,5,8/13/2009,2009,210,249.85,0.0001764,319887.1882,0,0,2268.703462,sediment
780,7/28/2009,2009,Summer 09,Arcturus,,,0,204,57.67,-160.28,54,5.6,148,2,2,1,0,5,8/13/2009,2009,190,250.57,0.0001832,270675.7642,0,0,1828.890299,sediment
781,7/28/2009,2009,Summer 09,Arcturus,,,0,204,57.67,-160.28,54,5.6,99,2,3,1,0,5,8/13/2009,2009,152,71.19,0.0001986,76507.55287,0,0,772.8035643,"1 small pleopod missing, sediment"
782,7/28/2009,2009,Summer 09,Arcturus,,,0,204,57.67,-160.28,54,5.6,124,2,5,1,0,5,8/13/2009,2009,155,189.68,0.0001842,213065.6895,0,0,1718.27169,sediment
950,6/10/2010,2010,Summer 10,Aldebaran,,,0,16,57.6559,-160.88428,58,1.6,122,2,2,1,0,6,7/8/2010,2010,130,214.62,0.0001992,237081.3253,0,0,1943.289552,
951,6/11/2009,2010,Summer 10,Aldebaran,,,0,25,56.01248,-162.23047,70,1.6,107,2,3,1,0,6,7/8/2010,2010,80,142.34,0.0002064,142322.6744,0,0,1330.118452,
952,6/11/2009,2010,Summer 10,Aldebaran,,,0,25,56.01248,-162.23047,70,1.6,131,2,2,1,0,6,7/8/2010,2010,150,244.84,0.0002194,248034.6399,0,0,1893.394198,
953,6/11/2009,2010,Summer 10,Aldebaran,,,0,25,56.01248,-162.23047,70,1.6,122,2,2,1,0,6,7/8/2010,2010,155,286.31,0.0002128,283663.5338,0,0,2325.110933,
954,6/9/2010,2010,Summer 10,Aldebaran,,,0,12,56.6664,-160.35235,60,1.8,123,2,2,1,0,5,7/8/2010,2010,125,114.87,0.0002072,229839.2857,0,0,1868.612079,
955,6/11/2009,2010,Summer 10,Aldebaran,,,0,25,56.01248,-162.23047,70,1.6,135,2,2,1,0,6,7/9/2010,2010,163,273.11,0.0001974,294812.0567,0,0,2183.793013,
956,6/9/2010,2010,Summer 10,Aldebaran,,,0,12,56.6664,-160.35235,60,1.8,102,2,3,1,0,5,7/9/2010,2010,72,116.14,0.0002156,130012.987,0,0,1274.637127,missing last segment a large pleopod
957,6/9/2010,2010,Summer 10,Aldebaran,,,0,12,56.6664,-160.35235,60,1.8,132,2,5,1,0,6,7/9/2010,2010,175,237.96,0.000196,267284.6939,0,0,2024.884045,missing small pleopod
958,6/12/2010,2010,Summer 10,Aldebaran,,,0,26,55.32478,-163.43092,54,2.2,130,2,2,1,0,6,7/9/2010,2010,145,235.34,0.0001986,270509.567,0,0,2080.842823,
959,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,108,2,3,1,0,6,7/9/2010,2010,80,138.68,0.0002022,155032.1464,0,0,1435.482837,
960,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,92,2,2,1,0,6,7/9/2010,2010,53,67.90,0.000209,74119.13876,0,0,805.6428126,
961,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,102,2,2,1,0,6,7/9/2010,2010,70,115.38,0.0002268,116266.3139,0,0,1139.865823,
962,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,91,2,3,1,0,5,7/9/2010,2010,28,46.99,0.0002146,47175.20969,0,0,518.4088977,
963,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,82,2,3,1,0,5,7/9/2010,2010,20,35.13,0.0001986,35579.05337,0,0,433.8908948,
964,6/8/2010,2010,Summer 10,Alaska Knight,,,0,10,57.68525,-160.26065,53,1.7,95,2,2,1,0,3,7/12/2010,2010,42,63.82,0.0002088,74794.0613,0,0,787.3059084,
965,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,88,2,3,1,0,5,7/12/2010,2010,20,46.64,0.000197,54669.03553,0,0,621.2390401,
966,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,142,2,2,1,0,6,7/12/2010,2010,205,296.11,0.0001942,343788.8774,0,0,2421.048432,
967,6/9/2010,2010,Summer 10,Aldebaran,,,0,14,56.98043,-160.9652,62,2.1,126,2,2,1,0,2,7/12/2010,2010,160,250.46,0.000196,277604.0816,0,0,2203.206997,
968,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,89,2,5,1,0,6,7/13/2010,2010,28,53.95,0.0001946,58597.1223,0,0,658.3946326,
969,6/8/2010,2010,Summer 10,Alaska Knight,,,0,11,57.33262,-160.30358,61,2.3,138,2,2,1,0,5,7/13/2010,2010,175,313.48,0.0002054,329642.1616,0,0,2388.711316,
970,6/9/2010,2010,Summer 10,Alaska Knight,,,0,14,56.31665,-161.63935,65,1.5,138,2,2,1,0,5,7/13/2010,2010,190,281.67,0.0002076,300680.6358,0,0,2178.845187,
971,6/9/2010,2010,Summer 10,Alaska Knight,,,0,14,56.31665,-161.63935,65,1.5,119,2,3,1,0,5,7/13/2010,2010,145,278.50,0.0002184,257034.7985,0,0,2159.95629,
972,6/10/2010,2010,Summer 10,Alaska Knight,,,0,17,57.31543,-161.51898,57,2.3,130,2,2,1,0,5,7/13/2010,2010,170,284.88,0.000193,314278.2383,0,0,2417.52491,
973,6/9/2010,2010,Summer 10,Alaska Knight,,,0,14,56.31665,-161.63935,65,1.5,118,2,3,1,0,5,7/14/2010,2010,115,211.63,0.0001974,235847.0111,0,0,1998.703484,
974,6/10/2010,2010,Summer 10,Alaska Knight,,,0,18,57.64048,-161.48685,54,1.9,119,2,2,1,0,4,7/14/2010,2010,64,99.62,0.000186,115805.914,0,0,973.1589412,
975,6/10/2010,2010,Summer 10,Alaska Knight,,,0,17,57.31543,-161.51898,57,2.3,88,2,2,1,0,5,7/14/2010,2010,40,63.48,0.00018,77155,0,0,876.7613636,
976,6/10/2010,2010,Summer 10,Alaska Knight,,,0,18,57.64048,-161.48685,54,1.9,117,2,2,1,0,5,7/14/2010,2010,120,213.08,0.0001878,242556.443,0,0,2073.131991,
977,6/9/2010,2010,Summer 10,Alaska Knight,,,0,14,56.31665,-161.63935,65,1.5,114,2,3,1,0,5,7/14/2010,2010,70,157.37,0.0002186,153146.8435,0,0,1343.393364,
978,6/12/2010,2010,Summer 10,Alaska Knight,,,0,32,55.67462,-162.80788,51,2.1,139,2,2,1,0,5,7/14/2010,2010,190,284.88,0.0001968,323672.2561,0,0,2328.577382,
979,6/8/2010,2010,Summer 10,Alaska Knight,,,0,11,57.33262,-160.30358,61,2.3,93,2,3,1,0,5,7/15/2010,2010,32,51.03,0.0001808,59502.21239,0,0,639.8087354,missing small pleopod
980,6/9/2010,2010,Summer 10,Alaska Knight,,,0,14,56.31665,-161.63935,65,1.5,112,2,2,1,0,6,7/15/2010,2010,115,191.98,0.0002168,193825.1845,0,0,1730.582004,
981,6/9/2010,2010,Summer 10,Alaska Knight,,,0,14,56.31665,-161.63935,65,1.5,144,2,2,1,0,5,7/15/2010,2010,185,277.36,0.0002174,276390.5244,0,0,1919.378642,
983,6/8/2010,2010,Summer 10,Alaska Knight,,,0,12,57.00165,-160.32503,62,2.3,131,2,3,1,0,5,7/15/2010,2010,185,304.71,0.0002038,346716.8793,0,0,2646.693735,
984,6/9/2010,2010,Summer 10,Alaska Knight,,,0,14,56.31665,-161.63935,65,1.5,138,2,2,1,0,5,7/15/2010,2010,140,276.36,0.0002138,265887.2778,0,0,1926.719404,missing half large pleopod
985,6/9/2010,2010,Summer 10,Alaska Knight,,,0,14,56.31665,-161.63935,65,1.5,136,2,3,1,0,4,7/16/2010,2010,125,232.29,0.0001922,246479.7086,0,0,1812.350799,
986,6/9/2010,2010,Summer 10,Alaska Knight,,,0,14,56.31665,-161.63935,65,1.5,162,2,3,1,0,5,7/16/2010,2010,95,164.97,0.0002384,149624.5805,0,0,923.6085216,
987,6/6/2010,2010,Summer 10,Alaska Knight,,,0,12,57.00165,-160.32503,62,2.3,145,2,2,1,0,5,7/16/2010,2010,195,327.44,0.000178,371500.5618,0,0,2562.07284,
988,6/9/2010,2010,Summer 10,Alaska Knight,,,0,13,56.32808,-161.00963,54,1.7,116,2,2,1,0,5,7/16/2010,2010,110,209.05,0.0002116,208193.7618,0,0,1794.773809,
989,6/9/2010,2010,Summer 10,Alaska Knight,,,0,13,56.32808,-161.00963,54,1.7,114,2,2,1,0,5,7/16/2010,2010,95,179.43,0.0002174,175234.1306,0,0,1537.141496,
991,6/8/2010,2010,Summer 10,Alaska Knight,,,0,11,57.33262,-160.30358,61,2.3,140,2,2,1,0,5,7/19/2010,2010,190,289.31,0.000199,337726.1307,0,0,2412.329505,
992,6/8/2010,2010,Summer 10,Alaska Knight,,,0,11,57.33262,-160.30358,61,2.3,121,2,2,1,0,5,7/19/2010,2010,135,205.84,0.0001864,252325.1073,0,0,2085.331465,
993,6/8/2010,2010,Summer 10,Alaska Knight,,,0,12,57.00165,-160.32503,62,2.3,120,2,3,1,0,6,7/19/2010,2010,125,200.68,0.0001914,234706.3741,0,0,1955.886451,
994,6/8/2010,2010,Summer 10,Alaska Knight,,,0,12,57.00165,-160.32503,62,2.3,92,2,2,1,0,5,7/20/2010,2010,48,73.40,0.0001996,85953.90782,0,0,934.2816067,
995,6/8/2010,2010,Summer 10,Alaska Knight,,,0,12,57.00165,-160.32503,62,2.3,119,2,3,1,0,5,7/20/2010,2010,95,204.18,0.0001978,178585.9454,0,0,1500.72223,
996,6/8/2010,2010,Summer 10,Alaska Knight,,,0,10,57.68525,-160.26065,53,1.7,137,2,2,1,0,5,7/20/2010,2010,190,260.64,0.000192,260770.3125,0,0,1903.432938,
997,6/8/2010,2010,Summer 10,Alaska Knight,,,0,12,57.00165,-160.32503,62,2.3,140,2,2,1,0,6,7/20/2010,2010,175,374.06,0.0001928,323356.8465,0,0,2309.691761,
998,6/9/2010,2010,Summer 10,Aldebaran,,,0,12,56.6664,-160.35235,60,1.8,99,2,3,1,0,6,7/21/2010,2010,80,115.02,0.000201,138073.1343,0,0,1394.678124,
999,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,97,2,2,1,0,6,7/21/2010,2010,55,88.80,0.0002224,94859.26259,0,0,977.9305422,
1000,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,103,2,2,1,0,6,7/21/2010,2010,50,99.67,0.0001838,116085.4189,0,0,1127.042902,
1001,6/9/2010,2010,Summer 10,Aldebaran,,,0,12,56.6664,-160.35235,60,1.8,135,2,2,1,0,5,7/21/2010,2010,160,308.60,0.0002192,292747.719,0,0,2168.501622,
1002,6/9/2010,2010,Summer 10,Aldebaran,,,0,12,56.6664,-160.35235,60,1.8,131,2,2,1,0,6,7/21/2010,2010,170,247.92,0.0001982,314994.9546,0,0,2404.541638,
1003,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,100,2,5,1,0,6,7/21/2010,2010,55,92.50,0.0002176,103779.4118,0,0,1037.794118,
1004,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,98,2,5,1,0,5,7/22/2010,2010,70,107.29,0.0001984,114514.6169,0,0,1168.516499,
1005,6/10/2010,2010,Summer 10,Aldebaran,,,0,16,57.6559,-160.88428,58,1.6,121,2,2,1,0,6,7/22/2010,2010,125,231.23,0.000189,265304.7619,0,0,2192.601338,
1006,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,96,2,5,1,0,5,7/22/2010,2010,48,74.59,0.0001996,82481.96393,0,0,859.1871243,
1007,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,128,2,2,1,0,6,7/22/2010,2010,155,237.13,0.0001952,289009.7336,0,0,2257.888544,
1008,6/9/2010,2010,Summer 10,Aldebaran,,,0,13,56.67088,-160.96288,68,1.5,91,2,3,1,0,6,7/22/2010,2010,46,78.13,0.000237,70093.24895,0,0,770.255483,
1009,6/11/2010,2010,Summer 10,Aldebaran,,,0,25,56.01248,-162.23047,70,1.6,120,2,2,1,0,5,7/23/2010,2010,120,197.06,0.0002114,199119.6783,0,0,1659.330653,
1010,6/10/2010,2010,Summer 10,Aldebaran,,,0,16,57.6559,-160.88428,58,1.6,121,2,5,1,0,6,7/23/2010,2010,140,222.63,0.0001998,265379.8799,0,0,2193.222148,
1011,7/25/2010,2010,Summer 10,Aldebaran,,,0,150,56.3316,-160.98375,48,,112,2,2,1,0,6,8/18/2010,2010,86,163.31,0.000198,167426.7677,0,0,1494.881854,
